,ltla_code,X,utla_code,utla_name,ltla_name,total_first_dose,total_second_dose,population,median_age,White_British,Other_White,Mixed,Asian,Black,Other,mean_imd_score
128,E07000103,124,E10000015,Hertfordshire,Watford,59148,40402,96577,36.4,58.7628866,12.37113402,4.12371134,19.58762887,4.12371134,1.030927835,15.41
129,E07000105,125,E10000016,Kent,Ashford,81284,59621,130032,41.9,84.92063492,3.968253968,1.587301587,5.555555556,1.587301587,2.380952381,18.546
130,E07000106,126,E10000016,Kent,Canterbury,96562,73974,165394,37.7,85.80246914,5.555555556,2.469135802,3.086419753,1.234567901,1.851851852,16.798
131,E07000107,127,E10000016,Kent,Dartford,64305,44362,112606,37.4,84.90566038,7.547169811,1.886792453,2.830188679,2.830188679,0,18.812
132,E07000108,128,E10000016,Kent,Dover,77328,59851,118131,46.2,94.73684211,2.631578947,0,1.754385965,0,0.877192982,22.161
133,E07000109,129,E10000016,Kent,Gravesham,61291,46814,106939,39.4,72.38095238,7.619047619,0,12.38095238,7.619047619,0,21.414
134,E07000110,130,E10000016,Kent,Maidstone,105982,77397,171826,41.5,86.06060606,4.848484848,1.818181818,4.848484848,1.818181818,0.606060606,16.503
135,E07000111,131,E10000016,Kent,Sevenoaks,76656,56352,120750,44,94.91525424,4.237288136,0,0.847457627,0,0,12.437
136,E07000112,132,E10000016,Kent,Folkestone and Hythe,74623,59605,112996,46.6,92.79279279,1.801801802,0,4.504504505,0,0.900900901,24.149
137,E07000113,133,E10000016,Kent,Swale,90698,66386,150082,41.4,93.79310345,4.137931034,0.689655172,0,0.689655172,0.689655172,27.076
138,E07000114,134,E10000016,Kent,Thanet,93596,73823,141922,44.6,88.65248227,3.546099291,0.709219858,1.418439716,1.418439716,4.255319149,31.314
139,E07000115,135,E10000016,Kent,Tonbridge and Malling,82442,61233,132153,42.3,92.91338583,3.149606299,1.57480315,1.57480315,0,0.787401575,13.333
140,E07000116,136,E10000016,Kent,Tunbridge Wells,72592,53288,118724,42.6,88.98305085,4.237288136,1.694915254,4.237288136,0.847457627,0,11.31
141,E07000117,137,E10000017,Lancashire,Burnley,53914,35596,88920,40.1,90.8045977,3.448275862,0,5.747126437,0,0,37.793
142,E07000118,138,E10000017,Lancashire,Chorley,77618,58563,118216,43.2,94.69026549,3.539823009,0.884955752,0,0.884955752,0,16.863
